Narrative,Fakes,Disinfo_cases_en,Date,Countries,Media,Link
Nord Stream-2 ,"NS-2 isn't a political project, it is exclusively commercial","As Europe already buys about 40% of its gas from Russia, the Nord Stream 2 pipeline is more about the delivery mechanism than the overall dependence on Russia, supporters say. ",13/09/2020,Italy,databaseitalia.it,https://www.databaseitalia.it/cosa-ce-dietro-al-gasdotto-nord-stream-2-e-perche-lavvelenamento-di-navalny-potrebbe-interromperne-il-completamento/
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,"Grozev, a Bellingcat actor from the very beginning, is actually the driving force behind the disinformation campaigns about Skripal, MH17… ",3/10/2020,Germany,RT.DE,https://de.rt.com/meinung/106908-fall-nawalny-und-nowitschok-nebel/
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,"The Netherlands accepted a single version of the incident from the start and pushed it forward as part of both the Dutch Security Council's technical investigation and the Joint Investigation Team's investigation. Of course, both investigations turned out to be biased, superficial, and politicized. Everything was done to reinforce the hasty accusations against Russia.",15/10/2020,Germany,RT.DE,https://de.rt.com/international/107819-moskau-weitere-trilaterale-gesprache-zu-mh17-absturz-unmoeglich/
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,"Russia's decision to end tripartite talks with Australia and the Netherlands over flight MH17 comes as no surprise. What is surprising is that Moscow had not done so sooner, since Russia was considered guilty from the start.",16/10/2020,Germany,RT.DE,https://de.rt.com/meinung/107857-russland-verlasst-mh17-gremium-logisches/
Ukraine is a failed state,Ukraine's economy and political institutions barely function,"In addition, Ukraine has had a long, still ongoing economic downturn. The country is actually bankrupt, but survives on IMF loans. In order to be able to continue issuing these loans, even the IMF lending rules were changed. In fact, this is tantamount to postponing bankruptcy. In the private sector, this is punishable by law. However, one can give up hope that any political leader will ever be held accountable in the face of growing poverty in Ukraine.",17/10/2020,Germany,RT.DE,https://de.rt.com/meinung/107869-deutsche-aussenpolitik-anspruch-und-wirklichkeit/
Russia is not an agressor towards Ukraine,Russia is not involved in the war in Ukraine,"In the case of Ukraine, Russia is also not a party to the conflict. It is an internal conflict, a civil war.",17/10/2020,Germany,RT.DE,https://de.rt.com/2353/international/nato-und-oligarchen-subventionieren-ukrainische-faschisten/
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,"They were imposed after the downing of the Malaysian passenger plane MH17, which the West blames on the autonomous regions - without being able to present any reliable evidence. All evidence that Russia wanted to contribute to clarifying the case was dismissed outright and Russia was deliberately duped. This arbitrary procedure, which is in no way appropriate to the principles of the rule of law, was then repeated in the Skripal case and now even more clumsily and brazenly in the Navalny case.",17/10/2020,Germany,RT.DE,https://de.rt.com/meinung/107869-deutsche-aussenpolitik-anspruch-und-wirklichkeit/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.",The West does not care about Ukraine,"After the Maidan, the promises of the West turned out to be empty words. The EU and the US have not made any effort to replace the Russian market. And so, in recent years, entire industries in Ukraine that previously produced for the Russian market have disappeared. ",2/11/2020,Germany,Antispiegel,https://www.anti-spiegel.ru/2020/ukraine-selensky-will-das-verfassungsgericht-entmachten-und-der-staat-steht-vor-der-pleite/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",The fact that Ukraine became impoverished after the Maidan is nothing new <...> . The reason is not the civil war that the Maidan government unleashed in 2014. The reason Ukraine collapsed economically is because of anti-Russian politics. ,2/11/2020,Germany,Uncutnews,https://uncutnews.ch/ukraine-selensky-will-das-verfassungsgericht-entmachten-und-der-staat-steht-vor-der-pleite/
The West controls Ukraine and uses it to its advantage,Ukraine totally depends on the West,"They (directors of Ukrainian state corporations - edit.) work in the interests of US companies and global corporations which, through their agents of influence, control strategically important industries.",30/11/2020,Germany,RT.DE,https://de.rt.com/meinung/109562-ehrliche-analyse-oder-maidan-apologetik/
The West controls Ukraine and uses it to its advantage,The West wants to kill Ukrainian economy to remove competitors and avoid competition,"Outwardly, the EU promises Ukraine prosperity and mutually beneficial relations. In reality, however, everything indicates that the EU is making sure that Ukraine does not develop its own competitive industry.",12/12/2020,Germany,RT.DE,https://de.rt.com/meinung/110181-eu-und-ukraine-sieben-jahre-nach-dem-euromaidan/
Russia is not an agressor towards Ukraine,Russia is not involved in the war in Ukraine,"The reason for the imposition of sanctions is the conflict in eastern Ukraine, in which, after the coup in Kyiv in February 2014, Ukrainian government troops and ultra-nationalist volunteer organizations are waging war against the self-proclaimed ""people's republics"" of Donetsk and Lugansk, which does not want to recognize the government that came to power. Russia is accused of providing military and economic support to the separatists.",13/12/2020,Germany,RT.DE,https://de.rt.com/inland/110477-bundesregierung-widerspricht-institut-auswirkungen-von/
Nazis and ultra-nationalists in Ukraine,The West ignores the Nazi problem in Ukraine,"The heroization of the Nazi past of a small minority of Ukrainians or right-wing hate crimes, which have been the order of the day since the pro-Western coup in February 2014, are not an issue either at the UN or the OSCE.",20/12/2020,Germany,RT.DE,https://de.rt.com/europa/110540-naziverehrung-folter-diskriminierung-russland-beklagt/
Nazis and ultra-nationalists in Ukraine,Right-wing radicals and neo-Nazis are closely involved in Ukraine's government and law enforcement system,"Therefore, authorities at all levels, simultaneously with the rewriting of history, endeavored to trivialize and glorify Nazism and Nazi collaborators of World War II, and to glorify various groups of Ukrainian Nazi collaborators. ",20/12/2020,Germany,RT.DE,https://de.rt.com/europa/110540-naziverehrung-folter-diskriminierung-russland-beklagt/
Ukraine is an illiberal state,There are constant violations of human rights in Ukraine,"For years, Russia has accused Ukraine of massive human rights violations. These include economic blockades, systematic discrimination against millions of citizens with regard to their language and belief, suppression of freedom of expression and heroisation of Nazi criminals.",20/12/2020,Germany,RT.DE,https://de.rt.com/europa/110540-naziverehrung-folter-diskriminierung-russland-beklagt/
Nord Stream-2 ,"NS-2 isn't a political project, it is exclusively commercial",What continues in the 2021 US arms budget law are the sanctions against the European-Russian gas pipeline Nord Stream 2. The Americans continue to try everything to undermine the market position of Russian natural gas in the European market.,24/12/2020,Germany,SNA.DE,https://snanews.de/20201224/pentagon-ausgaben-fuer-was-280387.html
Ukraine is conducting an aggressive policy,Ukraine escalates the conflict in Donbas,"Ukraine itself, where Western-backed “democratic forces” have already won, remains the main reason for instability in Eastern Europe. The Zelenskiy government came to power amid slogans about the need to end the conflict in eastern Ukraine and rebuild the country. In practice, the new government continued the policy aimed at maintaining military tension in the region to please its external sponsors and personal enrichment.",1/1/2021,Germany,Uncutnews,https://uncutnews.ch/militaerische-und-politische-trends-des-jahres-2020-die-das-jahr-2021-praegen-werden/
Russia is not an agressor towards Ukraine,Russia is not involved in the war in Ukraine,"These sanctions also represent an aggressive, unilateral act that is incompatible with international law. The Minsk Agreements were the main reason for the sanctions. From the Federal Government's point of view, Russia does not have sufficient influence on the Donetsk and Lugansk Republics. It should be noted that Russia is not a party to the conflict at all, but actually a mediator. Irrespective of this, sanctions are imposed – an absolutely cynical process.",4/1/2021,Germany,RT.DE,https://de.rt.com/meinung/111211-deutschland-weit-nach-rechts-gerutscht/
The West controls Ukraine and uses it to its advantage,"The ""coup"" was arranged by Nuland, she is the creator of the ""crisis in Ukraine""",Nuland was the driving force behind the 2014 uprising that toppled Viktor Yanukovych's Ukrainian government in Ukraine and is now set to serve as Biden's undersecretary for political affairs.,12/1/2021,Germany,Uncutnews,https://uncutnews.ch/biden-ernennt-die-chef-coup-plotterin-der-ukraine-victoria-nuland/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","This triggered a civil war, cost 10,000 lives and displaced over a million people.",13/01/2021,Germany,SNA.DE,https://snanews.de/20210113/nuland-nominierung-501679.html
Maidan in 2014 was a coup d'état,"Maidan was organised or supported by other countries or foreigners, in particular to remove the ruling class close to Russia and replace it with the usual pro-Western puppets",Nuland was the driving force behind a coup before and during the 2014 Kyiv Maidan.”,18/01/2021,Germany,NachDenkSeiten,https://www.nachdenkseiten.de/?p=68942
Ukraine is an illiberal state,There are constant violations of human rights in Ukraine,The repressive measures against those who think differently have not stopped since Maidan 2014. Anyone who criticizes the government's anti-social policies and expresses sympathy for Russia must be prepared for dire threats.,4/2/2021,Germany,Heise,https://www.heise.de/tp/features/Ukraine-im-Zangengriff-von-Ultranationalisten-und-Pressezensur-5045349.html?seite=all
Russians are discriminated in Ukraine,There is an oppression of Russian language in Ukraine,"How is it compatible with the same rights for all Ukrainians if, according to the language law introduced on January 16, 2021, one can only speak Ukrainian in the service sector, although Russian is spoken in large parts of Ukraine - also in Kiev - dominated?",4/2/2021,Germany,Heise,https://www.heise.de/tp/features/Ukraine-im-Zangengriff-von-Ultranationalisten-und-Pressezensur-5045349.html?seite=all
Russia is not involved in MH17 crash; Ukraine shot down the plane ,Russia is not involved in MH17 crash; Ukraine shot down the plane ,"The Ukrainian army shot down a Malaysian passenger plane using the Buk air defense missile system. This is evidenced by archival data from the Russian Defense Ministry, according to which the missile, whose serial number was provided by Western investigators, was transferred to Ukraine during the Soviet era.",6/2/2021,Germany,Newsfront,https://de.news-front.info/2021/02/06/mh17-absturz-die-niederlande-weigerten-sich-den-entscheidenden-faktor-zu-untersuchen/
Russians are discriminated in Ukraine,There is a discrimination of Russians in Ukraine,The persecution of the Russian language continues and the most fanatic Ukrainian politicians propose to deprive Russian-speaking citizens of basic rights.,11/2/2021,Italy,Controinformazione,https://www.controinformazione.info/il-modo-in-cui-la-liberta-di-parola-viene-distrutta-in-ucraina-ue-e-stati-uniti/
Ukraine is conducting an aggressive policy,Ukraine denounced Minsk Agreements,"First, the Ukrainian government and parliament have practically declared the Minsk agreements dead. ",15/02/2021,Germany,Uncutnews,https://uncutnews.ch/steht-die-ukraine-wieder-mal-am-rande-eines-krieges/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",The punitive operation launched by the Kyiv regime in spring 2014 has since claimed the lives of 13.3 thousand people.,19/02/2021,Germany,Newsfront,https://de.news-front.info/2021/02/19/un-aktualisierte-daten-zu-opfern-der-ukrainischen-aggression-im-donbass/
Russians are discriminated in Ukraine,There is a discrimination of Russians in Ukraine,"Biden either doesn't know or (more likely) doesn't care that Crimeans have been Russian-speaking, part of Russian culture and generally pro-Russian for centuries. In 2014, most of these citizens wanted to reunite with Russia (see the BBC's objective analysis), rather than stay with a crippled post-revolutionary Ukraine that would bully them for their Russian origins.",3/3/2021,Germany,Uncutnews,https://uncutnews.ch/biden-verabreicht-der-nato-eine-impfstoffspritze/
The West controls Ukraine and uses it to its advantage,The West uses Ukraine in its actions against Russia,"Americans don't need a strong Ukrainian army. One gets the impression that the United States, by supplying Ukraine with weapons and equipment, is not trying to increase the combat effectiveness of the Ukrainian armed forces, but is simply trying to solve completely different tasks. One of them is PR in the form of statements about “democratic support for Ukraine”. Only if the project called ""Anti-Russia"" continues to work, but the United States also has no plans to arm Ukraine to the teeth. Used rubber boats, decommissioned boats, bandages, and radios are all that's needed, Washington believes.",4/3/2021,Germany,Uncutnews,https://uncutnews.ch/us-militaerlieferungen-an-die-ukraine-im-wert-von-15-mrd-dollar-hilfe-oder-verschrottung/
The West controls Ukraine and uses it to its advantage,The West uses Ukraine as a instrument against Russia,"Americans don't need a strong Ukrainian army. <...> One gets the impression that the United States, by supplying Ukraine with weapons and equipment, is not trying to increase the combat effectiveness of the Ukrainian armed forces, but is simply trying to solve completely different tasks. One of them is PR in the form of statements about “democratic support for Ukraine”. Only if the project called ""Anti-Russia"" continues to work, but the United States also has no plans to arm Ukraine to the teeth. Used rubber boats, discarded boats, bandages, and radios are all that's needed, Washington believes.",4/3/2021,Germany,Uncutnews,https://uncutnews.ch/us-militaerlieferungen-an-die-ukraine-im-wert-von-15-mrd-dollar-hilfe-oder-verschrottung/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.",The West does not care about Ukraine,"Of course, some of America's military supplies are free or token money, but the rest is obviously overpriced. Also, it often supplies the products developed in the 70-80s of the last century, so it is not clear what the essence of these supplies is. So what are these American supplies - aid to the Ukrainian army or recycling of used American ""scrap""...?",4/3/2021,Germany,Uncutnews,https://uncutnews.ch/us-militaerlieferungen-an-die-ukraine-im-wert-von-15-mrd-dollar-hilfe-oder-verschrottung/
Ukraine is an illiberal state,There is a strict censorship in Ukraine,"What should have become clear here is that the EU and Germany tolerate a system of discrimination, censorship and persecution in Ukraine that is contrary to the otherwise upheld Western values.",6/3/2021,Germany,RT.DE,https://de.rt.com/europa/113926-ukraine-zensur-willkur-und-schweigen/
Ukraine is a failed state,Ukraine is a failed state,"Yes, it is becoming increasingly clear: Ukraine is a totalitarian state.",6/3/2021,Germany,RT.DE,https://de.rt.com/europa/113926-ukraine-zensur-willkur-und-schweigen/
The West controls Ukraine and uses it to its advantage,The West controls the authorities in Ukraine,"However, experts who think so make a mistake: they consider the Ukrainian leadership to be rational and sovereign. There is no trace of sovereignty in the Zelensky government, which means that there is no rationality either. More precisely, there is rationality, but rationality from the point of view of the interests not of Kyiv, but of Washington.",6/3/2021,Germany,Newsfront,https://de.news-front.info/2021/03/06/was-wird-die-ukraine-mit-einem-neuen-krieg-im-donbass-erreichen/
Russians are discriminated in Ukraine,There is an oppression of Russian language in Ukraine,The language laws are explicitly directed against Russian native speakers and the use of Russian.,6/3/2021,Germany,RT.DE,https://de.rt.com/europa/113926-ukraine-zensur-willkur-und-schweigen/
Russians are discriminated in Ukraine,There is an oppression of Russian language in Ukraine,"The application of the language laws, which make Ukrainian the only legal language, has been extended. Since January, the use of the Ukrainian language has been mandatory in public spaces, i.e. when shopping, in restaurants and bars, in leisure facilities and all other private-sector facilities with customer traffic. Violations will be punished with fines. That in itself is discriminatory. But it becomes even more discriminatory, because the law applies nationwide, including in the east, where Russian is predominantly spoken. ",6/3/2021,Germany,RT.DE,https://de.rt.com/europa/113926-ukraine-zensur-willkur-und-schweigen/
Ukraine is conducting an aggressive policy,Ukrainian army conduct ceasefire violations,"Observers and experts speak of a serious deterioration in the situation around the DVR and the LVR in the last few days. For example, the number of shelling by Ukrainian forces has increased sharply. The DPR Ministry of Foreign Affairs is asking the OSCE mission to investigate these facts, but European bureaucrats live by the principle ""I see nothing, I hear nothing until there are instructions from Brussels.""",6/3/2021,Germany,Newsfront,https://de.news-front.info/2021/03/06/was-wird-die-ukraine-mit-einem-neuen-krieg-im-donbass-erreichen/
Ukraine is conducting an aggressive policy,Ukraine prepares\conducts provocations in Donbas,"Seven years after Maidan, Ukraine is deeply divided. Since 2021, Kyiv has been ramping up terror against its own population in the south-east of the country and forcing the Ukrainian army to fire heavy weapons at civilians in Donbas - the silence of the Western media on this matter is deafening.",7/3/2021,Germany,RT.DE,https://de.rt.com/meinung/113877-ukraine-feuerwerk-nach-sieben-jahren-krieg-gegen-donbass/
Maidan in 2014 was a coup d'état,Maidan led to the separation of Donetsk and Luhansk and civil war in the region,"After the Maidan putsch in April 2014, Kyiv sent troops instead of negotiators to the Donbas and called the so-called anti-terrorist operation (ATO).",10/3/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/krieg-im-donbass-ukraine-verkuendet-das-ende-des-abkommens-von-minsk/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","After the Maidan coup in April 2014, Kyiv sent troops to the Donbas instead of negotiators and called the so-called anti-terrorist operation (ATO). That was the beginning of the war in Donbas. ",10/3/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/krieg-im-donbass-ukraine-verkuendet-das-ende-des-abkommens-von-minsk/
Ukraine is conducting an aggressive policy,Ukraine denounced Minsk Agreements,"But the worsening of the situation fits into the picture, because people in Kyiv are now quite openly saying that Ukraine no longer feels bound by the Minsk Agreement . ",16/03/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/ukraine-update-ausbau-der-diktatur-und-vorbereitung-eines-grossen-krieges-im-donbass/
Ukraine is conducting an aggressive policy,Ukraine escalates the conflict in Donbas,The shelling in the Donbas is increasing again.,17/03/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/ukraine-update-ausbau-der-diktatur-und-vorbereitung-eines-grossen-krieges-im-donbass/ 
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"Crimea and Sevastopol became administrative subdivisions of the Russian Federation again after the referendum held on March 16, 2014, in which a majority of residents voted in favor of joining Russia. Reunification with Russia was supported by 96.77% of Crimeans and 95.6% of Sevastopol residents.",18/3/2021,Italy,farodiroma.it,https://www.farodiroma.it/sebastopoli-in-festa-per-anniversario-riunificazione-crimea-con-la-Russia/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"Crimea and Sevastopol became administrative subdivisions of the Russian Federation again after the referendum held on March 16, 2014, in which a majority of residents voted in favor of joining Russia. Reunification with Russia was supported by 96.77% of Crimeans and 95.6% of Sevastopol residents.",18/3/2021,Italy,SNA.IT,https://it.sputniknews.com/20210318/18-marzo-giorno-della-riunificazione-della-crimea-con-la-Russia-10279073.html
Maidan in 2014 was a coup d'état,Crimea voluntarily separated from Ukraine through referendum after Maidan,"In 2014, the local government of Crimea refused to recognize the new government born of the pro-Western coup 'Euromaidan' as legitimate and asked its citizens to decide through a popular referendum whether to continue to be part of Ukraine or rejoin Russia. ",19/03/2021,Italy,Il Primato Nazionale,https://www.ilprimatonazionale.it/esteri/mosca-80mila-persone-stadio-putin-video-186258/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"In 2014, the local government of Crimea refused to recognize the new government born of the pro-Western coup 'Euromaidan' as legitimate and asked its citizens to decide through a popular referendum whether to continue to be part of Ukraine or rejoin Russia. The outcome was overwhelming with over 95% of voters in favor of returning to Russia and a very high turnout, so on March 18, 2014 the Crimean parliament declared independence from Ukraine and asked to join Russia, receiving a positive response from of Russian President Vladimir Putin.
",19/3/2021,Italy,Il Primato Nazionale,https://www.ilprimatonazionale.it/esteri/mosca-80mila-persone-stadio-putin-video-186258
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,Residents of Sevastopol and the entire Crimean peninsula made a decision that no one regrets even today.,22/3/2021,Italy,vietatoparlare.it,https://www.vietatoparlare.it/la-Russia-ha-festeggiato-lanniversario-della-riunificazione-della-crimea/
Ukraine is a failed state,Ukraine's economy and political institutions barely function,Desecration of the Presidential Seat in Kyiv: Is Ukraine a Failed State?,23/03/2021,Germany,RT.DE,https://de.rt.com/meinung/114802-schandung-prasidentensitzes-ist-ukraine-gescheiterter-staat/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,Wind of war in Ukraine! Biden provokes Putin: thus there is a risk of conflict at the gates of Europe,3/4/2021,Italy,Mag24,https://www.mag24.es/2021/04/03/vento-di-guerra-in-ucraina-biden-provoca-putin-cosi-si-rischia-di-n-conflitto-alle-porte-delleuropa/
Ukraine is conducting an aggressive policy,Ukraine escalates the conflict in Donbas,"The President of the United States spoke with the President of Ukraine by phone and offered Kyiv unconditional support in a possible confrontation with Russian troops on the border. At the same time, Ukraine resumed shelling of Donbas.",3/4/2021,Germany,RT.DE,https://de.rt.com/europa/115364-donbass-unter-artilleriebeschuss-biden-verspricht-ukraine-unterstuetzung/
Ukraine is conducting an aggressive policy,Ukraine escalates the conflict in Donbas,The German media have kept quiet about Kyiv's escalation steps since January .,5/4/2021,Germany,Uncutnews,https://uncutnews.ch/das-russische-fernsehen-ueber-die-eskalation-in-der-ukraine/
Russia needs to protect itself,The West is provoking a war with Russia ,"As might be expected, Moscow has responded to Zelensky's decree and to the increasingly belligerent rhetoric in Kyiv and Washington by moving troops and other military assets closer to the border with Ukraine. Does anyone doubt that if the US were in the same situation - for example, if China installed a hostile and aggressive government in Mexico - the Pentagon would move troops in a similar fashion?",7/4/2021,Germany,Uncutnews,https://uncutnews.ch/warum-draengt-die-biden-administration-die-ukraine-russland-anzugreifen/
Ukraine is an illiberal state,There are constant violations of human rights in Ukraine,"Ukraine, where it has been proven that respect for fundamental and human rights is extremely poor. ",7/4/2021,Germany,RT.DE,https://de.rt.com/meinung/115452-neue-sanktionsregime-eu-rueckkehr-zum-recht-des-staerkeren/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,"US Secretary of State Antony Blinken, who was a key architect of the US-backed coup against Ukraine in 2014, continued to inflame Ukrainians and pledged full US support for Ukraine's ""territorial integrity"". ",7/4/2021,Germany,Uncutnews,https://uncutnews.ch/warum-draengt-die-biden-administration-die-ukraine-russland-anzugreifen/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,Why is the Biden administration pushing Ukraine to attack Russia?,7/4/2021,Germany,Uncutnews,https://uncutnews.ch/warum-draengt-die-biden-administration-die-ukraine-russland-anzugreifen/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"On March 24, Ukrainian President Vladimir Zelensky signed what was essentially a declaration of war on Russia. In the document, titled Presidential Decree No. 117/2021, the US-backed Ukrainian leader stated that Ukraine's official policy was to take Crimea back from Russia.",7/4/2021,Germany,Uncutnews,https://uncutnews.ch/warum-draengt-die-biden-administration-die-ukraine-russland-anzugreifen/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,"The flow of military transport aircraft between NATO countries and Ukraine has increased enormously in recent months. With Biden at the helm of the White House as de facto President of Ukraine after the Obama coup in 2014, preparations are being made for a conflict.",8/4/2021,Germany,Alles Schall und Rauch,http://alles-schallundrauch.blogspot.com/2021/04/krieg-zwischen-ukraine-und-russland.html
The West controls Ukraine and uses it to its advantage,"The ""coup"" was arranged by Nuland, she is the creator of the ""crisis in Ukraine""","The camps of Middle Eastern extremists and anti-Russian democratic extremists are different, but they share common ground. A bridge between these two groups is Victoria Nuland, a central figure in both the Middle East wars and the origins of the Ukraine crisis.",8/4/2021,Germany,Uncutnews,https://uncutnews.ch/wer-braucht-einen-krieg-in-der-ukraine/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,NATO Ending War in Ukraine Like Arsonist Putting Out Fire.,8/4/2021,Germany,Strategic Culture,https://www.strategic-culture.org/news/2021/04/08/nato-ending-war-ukraine-like-arsonist-putting-out-fire/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,"The flow of military transport aircraft between NATO countries and Ukraine has increased enormously in recent months. With Biden at the helm of the White House as de facto President of Ukraine after the Obama coup in 2014, preparations are being made for a conflict.",8/4/2021,Germany,Alles Schall und Rauch,http://alles-schallundrauch.blogspot.com/2021/04/krieg-zwischen-ukraine-und-russland.html
The West controls Ukraine and uses it to its advantage,The U.S. has secret laboratories all over Ukraine,"Medvedchuk believes that the facilities in Ukraine report to and carry out the Pentagon's orders, making them de facto US military bases, which Article 17 of Ukraine's constitution expressly prohibits. The opposition party also has suspicions that the laboratories could become the source of epidemics in the country, but the US embassy has denied this. In addition, the party noted that the US embassy tried to hide information about the work of two centers working in Ukraine to study dangerous pathogens.",8/4/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/woran-forschen-us-biolabore-in-der-ukraine/
Ukraine is conducting an aggressive policy,Ukraine builds up military forces in Donbas,We recommend that you get back in touch with Zelensky quickly and insist that Kyiv halt its current military buildup in eastern Ukraine . Russian forces stand ready at the border to respond if Zelensky's loose talk of war becomes more than bragging rights. Washington should also freeze all military training activities involving US and NATO troops in the region. This would reduce the chance that Ukraine could misinterpret these training missions as a factual sign of support for Ukrainian military operations to regain control of Donbas or Crimea.,8/4/2021,Germany,Uncutnews,https://uncutnews.ch/usa-geheimdienste-offiziere-und-diplomaten-im-ruhestand-schreiben-offenen-brief-an-joe-biden-um-den-krieg-in-der-ukraine-zu-verhindern/
Ukraine is conducting an aggressive policy,Ukraine prepares\conducts provocations in Donbas,"However, we reasonably see a threat from Ukraine not only for Russian citizens in the Ukrainian Donbas, but also for the Russian territories adjacent to Ukraine. This threat clearly comes not only from direct statements by representatives of the Ukrainian leadership and Ukrainian ideologists, but also from Ukrainian militarization itself, based on specifically neo-Nazi mechanisms of aggression ... Ukrainian neo-Nazism not only declared Ukraine an enemy of Russia, but also designated its territorial appetites for the Russian Kuban , Donbass and other Russian regions.",10/4/2021,Italy,SNA.IT,https://it.sputniknews.com/20210410/lucraina-di-cui-nessuno-ha-bisogno-Russia-in-primis-10393882.html
Nazis and ultra-nationalists in Ukraine,Nazis/right-wing nationalist government took power after the coup d'état in Kyiv,A February 2014 NATO-backed coup against an elected president brought an ultra-nationalist regime to power in Kyiv.,11/4/2021,Germany,Uncutnews,https://uncutnews.ch/die-nato-beendet-den-krieg-in-der-ukraine-wie-ein-brandstifter-der-das-feuer-loescht/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,A February 2014 NATO-backed coup against an elected president brought an ultra-nationalist regime to power in Kyiv.,11/4/2021,Germany,Uncutnews,https://uncutnews.ch/die-nato-beendet-den-krieg-in-der-ukraine-wie-ein-brandstifter-der-das-feuer-loescht/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,NATO ends the war in Ukraine like an arsonist putting out the fire.,11/4/2021,Germany,Uncutnews,https://uncutnews.ch/die-nato-beendet-den-krieg-in-der-ukraine-wie-ein-brandstifter-der-das-feuer-loescht/
The West controls Ukraine and uses it to its advantage,The West uses Ukraine in its actions against Russia,"America needs Russia to begin the war with Ukraine, and if it ends with the complete destruction of the armed forces of Ukraine and, probably, Ukrainian statehood, and it will, if Russia really decides so, then so be it.",11/4/2021,Germany,Uncutnews,https://uncutnews.ch/die-diktatur-der-zahlen-in-fortsetzung-eines-gespraechs-mit-paul-craig-roberts/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,"It was the refusal of Ukrainian President Viktor Yanukovych to sign an association agreement with the EU under the Eastern Partnership that put an end to his government, and possibly to his country. US-backed rebels toppled Yanukovych just three months later, and war have begun in the country's east.",12/4/2021,Germany,Antikrieg,http://www.antikrieg.com/aktuell/2021_04_11_nachueberraschendem.htm
Ukraine is conducting an aggressive policy,Ukraine prepares\conducts provocations in Donbas,"More importantly, the Zelensky decree is proof that any future conflict will have been provoked by Kyiv, debunking the proverbial claims of "" Russian aggression ."" Crimea, since the referendum of March 2014, is part of the Russian Federation. It was this veritable declaration of war, taken very seriously by Moscow, which prompted the deployment of further Russian forces in the Crimea and close to the Russian border with the Donbas. ",12/4/2021,Italy,Come Don Chisciotte,https://comedonchisciotte.org/ucraina-redux-russofobia-e-la-guerra-del-gasdotto/
Ukraine is conducting an aggressive policy,The Ukrainian military open fire at civilians,"The alliance is concerned about the Russian military presence near Ukraine's borders, but is pleased with the deaths of civilians in Donbas at the hands of Ukrainian punitive units.",13/04/2021,Germany,Newsfront,https://de.news-front.info/2021/04/13/nato-fordert-dass-russland-sich-nicht-in-die-ukrainische-strafaktion-im-donbass-einmischt/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,NATO TO END THE WAR IN UKRAINE? It's like saying we hire arsonists to put out fires,15/04/2021,Italy,Come Don Chisciotte ,https://comedonchisciotte.org/la-nato-per-porre-fine-alla-guerra-in-ucraina/
